,first_name,middle_name,last_name,dob,birth_city,dod,death_city,dob_year,dod_year,birth_state,death_state,full_name
34,Lyndon,B.,Johnson,"Aug 27, 1908",Gillespie Co.,"Jan 22, 1973",Gillespie Co.,1908,1973, Texas, Texas,Lyndon B. Johnson
35,Richard,,Nixon,"Jan 9, 1913",Yorba Linda,"Apr 22, 1994",New York,1913,1994, California, New York,Richard Nixon
36,Gerald,,Ford,"July 14, 1913",Omaha,"Dec 26, 2006",Rancho Mirage,1913,2006, Nebraska, California,Gerald Ford
37,Jimmy,,Carter,"Oct 1, 1924",Plains,,,1924,, Georgia,,Jimmy Carter
38,Ronald,,Reagan,"Feb 6, 1911",Tampico,"June 5, 2004",Los Angeles,1911,2004, Illinois, California,Ronald Reagan
39,George,,Bush,"June 12, 1924",Milton,"Nov 30, 2018",Houston,1924,2018, Massachusetts, Texas,George Bush
40,Bill,,Clinton,"Aug 19, 1946",Hope,,,1946,, Arkansas,,Bill Clinton
41,George,W.,Bush,"July 6, 1946",New Haven,,,1946,, Connecticut,,George W. Bush
42,Barack,,Obama,"Aug 4, 1961",Honolulu,,,1961,, Hawaii,,Barack Obama
43,Donald,,Trump,"June 14, 1946",New York,,,1946,, New York,,Donald Trump
44,Joe,,Biden,"Nov 20, 1942",Scranton,,,1942,, Pennsylvania,,Joe Biden
